signal,horizon_seconds,actual_rows,delayed_net_positive_rate,event_outcomes_not_executable_trades,mean_delayed_net_return_bps,median_delayed_net_return_bps,requested_rows
signed_pressure_to_opposing_depth_60s,60,1000,0.102,True,-12.7962533984968,-12.477505110670364,1000
signed_pressure_to_opposing_depth_300s,60,100,0.09,True,-14.716641260030528,-14.917165857625688,100
signed_pressure_to_opposing_depth_300s,60,500,0.098,True,-13.723425695187114,-12.822102211540209,500
signed_pressure_to_opposing_depth_300s,60,1000,0.099,True,-13.45853990256173,-12.741927287242891,1000
l1_imbalance,120,100,0.03,True,-11.835646126025313,-12.098074306544039,100
l1_imbalance,120,500,0.044,True,-11.6192032535945,-11.833400276722406,500
l1_imbalance,120,1000,0.051,True,-11.72353883483189,-11.802215446900448,1000
microprice_offset_bps,120,100,0.29,True,-11.577001530726447,-8.383421780679729,100
microprice_offset_bps,120,500,0.136,True,-11.708247748638044,-11.5800729461103,500
microprice_offset_bps,120,1000,0.092,True,-11.848231540145418,-11.5800729461103,1000
normalized_ofi,120,100,0.17,True,-10.094401826329426,-11.261931495904108,100
normalized_ofi,120,500,0.132,True,-12.123624962557543,-12.409415535628575,500
normalized_ofi,120,1000,0.118,True,-11.4916753249475,-11.820555473441864,1000
ofi_10s_mean,120,100,0.15,True,-10.751190403267335,-11.299208970229497,100
ofi_10s_mean,120,500,0.112,True,-11.392284948923534,-12.37678910027942,500
ofi_10s_mean,120,1000,0.09,True,-12.062628086938275,-12.246508064296412,1000
ofi_60s_mean,120,100,0.06,True,-14.872529318384885,-14.273719605002146,100
ofi_60s_mean,120,500,0.08,True,-12.685276443522685,-13.01596495098481,500
ofi_60s_mean,120,1000,0.085,True,-12.902724766726351,-12.907515175335776,1000
ofi_300s_mean,120,100,0.04,True,-14.447567156449317,-14.345691710114375,100
ofi_300s_mean,120,500,0.056,True,-13.543795022470054,-13.068928165720559,500
ofi_300s_mean,120,1000,0.071,True,-13.533080381303263,-13.035423821007438,1000
trade_imbalance,120,100,0.08,True,-11.331869110526718,-11.930576081149809,100
trade_imbalance,120,500,0.046,True,-12.07057077739665,-12.016604988465666,500
trade_imbalance,120,1000,0.038,True,-12.201994316050738,-12.266561886663439,1000
trade_imbalance_10s_mean,120,100,0.01,True,-12.866239815269408,-13.585095907064156,100
trade_imbalance_10s_mean,120,500,0.04,True,-12.256378193244899,-12.977819889014722,500
trade_imbalance_10s_mean,120,1000,0.041,True,-12.103733323278131,-12.456746763173847,1000
trade_imbalance_60s_mean,120,100,0.03,True,-11.771387072235257,-12.73559376416357,100
trade_imbalance_60s_mean,120,500,0.038,True,-11.786567646533669,-11.82043145437014,500
trade_imbalance_60s_mean,120,1000,0.042,True,-12.131676227734003,-12.150648969604768,1000
trade_imbalance_300s_mean,120,100,0.01,True,-12.38168537950014,-12.345142413969757,100
trade_imbalance_300s_mean,120,500,0.024,True,-12.22489293280487,-11.917275230597927,500
trade_imbalance_300s_mean,120,1000,0.026,True,-12.16612159232411,-12.163431524163709,1000
signed_pressure_to_opposing_depth_10s,120,100,0.25,True,-8.533424621919979,-10.877171436486702,100
signed_pressure_to_opposing_depth_10s,120,500,0.158,True,-12.977053159174437,-12.39515373234893,500
signed_pressure_to_opposing_depth_10s,120,1000,0.138,True,-13.198818303236946,-12.981435497210828,1000
signed_pressure_to_opposing_depth_60s,120,100,0.21,True,-10.089955029597938,-11.150944496233713,100
signed_pressure_to_opposing_depth_60s,120,500,0.162,True,-13.213325165766486,-12.921446582887878,500
signed_pressure_to_opposing_depth_60s,120,1000,0.147,True,-13.012393098927612,-12.821941591834655,1000
signed_pressure_to_opposing_depth_300s,120,100,0.12,True,-14.286134423377366,-13.577267057581926,100
signed_pressure_to_opposing_depth_300s,120,500,0.14,True,-14.184629165727442,-13.633744596707212,500
signed_pressure_to_opposing_depth_300s,120,1000,0.145,True,-13.849701560592855,-13.731575077029376,1000
l1_imbalance,300,100,0.1,True,-11.505711521066345,-11.361041712737787,100
l1_imbalance,300,500,0.112,True,-11.948425946287225,-11.64065436379829,500
l1_imbalance,300,1000,0.12,True,-11.738088928239707,-11.67257134312819,1000
microprice_offset_bps,300,100,0.38,True,-8.296327219096124,-6.238238817758814,100
microprice_offset_bps,300,500,0.218,True,-11.342766168255123,-11.95039770699908,500
microprice_offset_bps,300,1000,0.178,True,-11.754685059739375,-11.82037014395356,1000
normalized_ofi,300,100,0.2,True,-8.505641537470815,-11.903076507963917,100
normalized_ofi,300,500,0.202,True,-11.972797058178038,-12.592622386371563,500
normalized_ofi,300,1000,0.201,True,-11.200869020473746,-12.016324066823056,1000
ofi_10s_mean,300,100,0.13,True,-13.342364932008671,-12.147091123807282,100
ofi_10s_mean,300,500,0.192,True,-10.913915916247618,-11.175244322340715,500
ofi_10s_mean,300,1000,0.176,True,-11.631769517917881,-11.508814662333858,1000
ofi_60s_mean,300,100,0.08,True,-13.390183321945786,-12.091676258041801,100
ofi_60s_mean,300,500,0.128,True,-13.332225078564791,-12.8325585865813,500
ofi_60s_mean,300,1000,0.142,True,-13.58919401421057,-12.530881298848767,1000
ofi_300s_mean,300,100,0.17,True,-14.86704370779381,-14.853602339341357,100
ofi_300s_mean,300,500,0.132,True,-16.275148175907454,-14.660612687478643,500
ofi_300s_mean,300,1000,0.117,True,-15.626635532359815,-13.282817286103452,1000
trade_imbalance,300,100,0.17,True,-11.65745933256372,-11.376261106418891,100
trade_imbalance,300,500,0.12,True,-11.811987281574453,-11.667014776607477,500
trade_imbalance,300,1000,0.101,True,-11.937299875111025,-11.966662446847362,1000
trade_imbalance_10s_mean,300,100,0.08,True,-12.708813637059029,-13.174377744387314,100
trade_imbalance_10s_mean,300,500,0.09,True,-12.61035992530088,-12.941217929609968,500
trade_imbalance_10s_mean,300,1000,0.103,True,-12.159303697306745,-12.889956425821161,1000
trade_imbalance_60s_mean,300,100,0.12,True,-10.859597669010407,-11.739822372160932,100
