signal,horizon_seconds,date,rows,weighted_roc_auc,unweighted_roc_auc,spearman_information_coefficient,weighted_direction_accuracy
signed_pressure_to_opposing_depth_300s,60,2023-06-22,6196,0.4787262658556915,0.48564118268944323,-0.021963671119230525,0.4769768625917907
signed_pressure_to_opposing_depth_300s,60,2023-06-23,5837,0.47940575814491404,0.47882747361300226,-0.04619896351474586,0.47592443028993886
signed_pressure_to_opposing_depth_300s,60,2023-06-24,4786,0.4563097184127701,0.4602377706360893,-0.07491837681980669,0.4520591839173697
signed_pressure_to_opposing_depth_300s,60,2023-06-25,5277,0.47241207029074817,0.4769371318039498,-0.040870610496895006,0.4720518500323712
l1_imbalance,120,2023-06-21,6494,0.5044210106976417,0.49995047694511324,-0.001945487872299797,0.49988060135303675
l1_imbalance,120,2023-06-22,6223,0.5056139295829761,0.510652284517396,0.028009140837477135,0.5030465506516063
l1_imbalance,120,2023-06-23,5854,0.5247790509045882,0.5160737554468902,0.0249984689829005,0.5220329544171883
l1_imbalance,120,2023-06-24,4816,0.524645763052586,0.5161692501810851,0.028803064265297072,0.5153115565571947
l1_imbalance,120,2023-06-25,5322,0.5210933793075344,0.5232766822715568,0.04540456590835541,0.5135652612452909
microprice_offset_bps,120,2023-06-21,6494,0.5066212655438784,0.5026054364885868,0.0014819399217082868,0.5010497392630244
microprice_offset_bps,120,2023-06-22,6223,0.5048486016448389,0.5097200035310698,0.025762346112750276,0.5014345816855661
microprice_offset_bps,120,2023-06-23,5854,0.5246210152910054,0.5158286745783769,0.024218331586611606,0.5211885849466079
microprice_offset_bps,120,2023-06-24,4816,0.5248313722792981,0.5166591333219082,0.02916483607502976,0.5144605732652514
microprice_offset_bps,120,2023-06-25,5322,0.5204706397703365,0.5226025137319643,0.043665223145949256,0.5129811427592313
normalized_ofi,120,2023-06-21,6494,0.4994293530613778,0.4979386028403377,-0.0031482343976195776,0.4985142192095894
normalized_ofi,120,2023-06-22,6223,0.5039357759363979,0.5061811294089531,0.00512583726203734,0.5066673618331138
normalized_ofi,120,2023-06-23,5854,0.5002006783484433,0.49942740515522177,-0.01068785312061925,0.4942953546108094
normalized_ofi,120,2023-06-24,4816,0.5186062337912527,0.5152674924178999,0.01822280560259228,0.508009882889127
normalized_ofi,120,2023-06-25,5322,0.5113446542232948,0.5154194336814771,0.03660199771214916,0.5090037893784547
ofi_10s_mean,120,2023-06-21,6494,0.49548901911818205,0.4925908748057172,-0.024269853546208694,0.49493283711610186
ofi_10s_mean,120,2023-06-22,6223,0.4932608724328657,0.4958298024358179,-0.009114197116294636,0.49571844217814626
ofi_10s_mean,120,2023-06-23,5854,0.48465011541420233,0.4836796457945104,-0.026310070933057646,0.4897607619660555
