round,treatment,view,objective,seed,fold,loss_skill,final_iterations,backend,device,reload_max_abs_prediction_error_bps,model_sha256,file_sha256
56,baseline_72,raw_stress_payoff,lower_tail_q20,5603,2024-06,0.09561313394473225,285,opencl,opencl:auto,0.0,3f45889657c497036881bbb91c0a9f31e2902d6c1602fa4391413d57527135ac,cc6dd03dbad04fac6c3cd00a4d070fa470fc75f4fd3df8f1a650191368071301
56,baseline_72,stop_normalized_stress_payoff,conditional_mean,5601,2023-07,0.022089716664817294,93,opencl,opencl:auto,0.0,6e47b143f2e47370400a4691177d80c6cb15f054a147ce94b42823828ce96bd8,e15045cd569e0063cb08cdecdf617aba7f13a3200356ef6647968d364b535e3d
56,baseline_72,stop_normalized_stress_payoff,conditional_mean,5601,2023-08,0.03529978849219495,93,opencl,opencl:auto,0.0,6e47b143f2e47370400a4691177d80c6cb15f054a147ce94b42823828ce96bd8,e15045cd569e0063cb08cdecdf617aba7f13a3200356ef6647968d364b535e3d
56,baseline_72,stop_normalized_stress_payoff,conditional_mean,5601,2023-09,0.027044152722598747,93,opencl,opencl:auto,0.0,6e47b143f2e47370400a4691177d80c6cb15f054a147ce94b42823828ce96bd8,e15045cd569e0063cb08cdecdf617aba7f13a3200356ef6647968d364b535e3d
56,baseline_72,stop_normalized_stress_payoff,conditional_mean,5601,2023-10,0.03082543852724562,93,opencl,opencl:auto,0.0,6e47b143f2e47370400a4691177d80c6cb15f054a147ce94b42823828ce96bd8,e15045cd569e0063cb08cdecdf617aba7f13a3200356ef6647968d364b535e3d
56,baseline_72,stop_normalized_stress_payoff,conditional_mean,5601,2023-11,0.038358139704901206,93,opencl,opencl:auto,0.0,6e47b143f2e47370400a4691177d80c6cb15f054a147ce94b42823828ce96bd8,e15045cd569e0063cb08cdecdf617aba7f13a3200356ef6647968d364b535e3d
56,baseline_72,stop_normalized_stress_payoff,conditional_mean,5601,2023-12,0.029160282977194862,93,opencl,opencl:auto,0.0,6e47b143f2e47370400a4691177d80c6cb15f054a147ce94b42823828ce96bd8,e15045cd569e0063cb08cdecdf617aba7f13a3200356ef6647968d364b535e3d
56,baseline_72,stop_normalized_stress_payoff,conditional_mean,5601,2024-01,0.026181816001977554,93,opencl,opencl:auto,0.0,6e47b143f2e47370400a4691177d80c6cb15f054a147ce94b42823828ce96bd8,e15045cd569e0063cb08cdecdf617aba7f13a3200356ef6647968d364b535e3d
56,baseline_72,stop_normalized_stress_payoff,conditional_mean,5601,2024-02,0.01970981705262398,93,opencl,opencl:auto,0.0,6e47b143f2e47370400a4691177d80c6cb15f054a147ce94b42823828ce96bd8,e15045cd569e0063cb08cdecdf617aba7f13a3200356ef6647968d364b535e3d
56,baseline_72,stop_normalized_stress_payoff,conditional_mean,5601,2024-03,0.02406345798233911,93,opencl,opencl:auto,0.0,6e47b143f2e47370400a4691177d80c6cb15f054a147ce94b42823828ce96bd8,e15045cd569e0063cb08cdecdf617aba7f13a3200356ef6647968d364b535e3d
