signal,family,horizon_seconds,direction_rows,weighted_roc_auc,unweighted_roc_auc,spearman_information_coefficient,weighted_direction_accuracy,daily_auc_minimum,daily_auc_median,daily_auc_standard_deviation,days_above_chance,routed_rows,delayed_l1_eligible_rows,mean_signal_aligned_gross_midquote_return_bps,mean_cross_spread_gross_return_bps,mean_spread_crossing_cost_bps,mean_fee_and_slippage_cost_bps,mean_historical_latency_drag_bps,mean_delayed_net_return_bps,delayed_net_positive_rate,nonoverlapping_rows,nonoverlapping_weighted_roc_auc,nonoverlapping_mean_delayed_net_return_bps,placebo_observed_rank_descending,placebo_exceedance_fraction,placebo_mean_auc,placebo_auc_standard_deviation,placebo_auc_95_low,placebo_auc_95_high,nonfinite_signal_rows
signed_pressure_to_opposing_depth_10s,depth_normalized_aggressor_flow,60,28578,0.4923651199495472,0.4915140734493977,-0.017538848857222938,0.4903498441844715,0.4821735185425316,0.48884439374475386,0.009308589716856728,2,28794,27995,-0.10683029056031851,-0.1430074521514445,0.036177161591126016,12.0000839220403,-0.01834618533023356,-12.143091374191746,0.041114484729415965,6030,0.5095941590619046,-12.048653067992104,199,0.9900497512437811,0.49981979932724985,0.0035080020187780846,0.4927302803792507,0.5070908545643998,0
signed_pressure_to_opposing_depth_60s,depth_normalized_aggressor_flow,60,28578,0.4814040910901363,0.48265724692569045,-0.0318614167478427,0.4774485177144408,0.4760977994098004,0.4777636681023016,0.005484954752746786,0,28794,27988,-0.1443794476026185,-0.18050079726640572,0.036121349663787286,12.000087327985398,-0.016687307801911386,-12.180588125251802,0.04119622695440903,6030,0.49905658311439016,-12.076578915907962,201,1.0,0.5005071687477922,0.004193848762077049,0.49244796428662635,0.5089182921020109,0
signed_pressure_to_opposing_depth_300s,depth_normalized_aggressor_flow,60,28578,0.4701444634594483,0.47331911492111434,-0.05175855503522653,0.4688494425279706,0.4563097184127701,0.47241207029074817,0.009794711558587455,0,28794,27979,-0.28463764119452206,-0.32064003420950277,0.03600239301498079,12.000084912724207,-0.02534615913771955,-12.32072494693371,0.039708352693091246,6030,0.4807299512428127,-12.30866190559131,201,1.0,0.5005716328125915,0.003664813738841556,0.49404218022988117,0.5073573098996925,0
l1_imbalance,displayed_l1_depth_imbalance,120,28709,0.5168398087812205,0.5132320531397039,0.023871485822748274,0.5107333141248454,0.5044210106976417,0.5210933793075344,0.00916128513850482,5,28783,27804,0.09971492087561701,0.06387051950763305,0.03584440136798394,12.000139309875587,0.08129619790634625,-11.936268790367953,0.08160696302690261,3265,0.5400369234624168,-11.80833400889231,1,0.004975124378109453,0.4998928455441121,0.0036764346984051667,0.4930723645633904,0.5069132359287415,0
microprice_offset_bps,microprice,120,28709,0.5167662169626261,0.5133247226432331,0.023454328163243093,0.5101897956658009,0.5048486016448389,0.5204706397703365,0.00876616193301682,5,28783,27809,0.11060573270978423,0.07474830303531683,0.035857429674467374,12.000143417070005,0.07886013410632081,-11.925395114034687,0.08155633068431084,3265,0.5416150114009436,-11.703069403653162,1,0.004975124378109453,0.5004081238341405,0.0034625012870002523,0.4940526287202673,0.5069826463139404,0
normalized_ofi,order_flow_imbalance,120,28709,0.5064931670424192,0.50574914431686,0.005794448803612976,0.5032986671451909,0.4994293530613778,0.5039357759363979,0.007294869206630238,4,28783,27826,-0.01653505387370653,-0.052195459378124164,0.03566040550441763,12.000153770881504,0.06177966701847457,-12.052349230259628,0.07881118378494933,3265,0.5263667975416764,-11.909956108104339,11,0.05472636815920398,0.49990278312713843,0.004028066220757517,0.4920479693415013,0.5074077267949179,0
ofi_10s_mean,order_flow_imbalance,120,28709,0.49853748195672964,0.49874204238913816,-0.004244704567713681,0.4981609331763316,0.48465011541420233,0.49548901911818205,0.009894986996203982,2,28783,27883,0.0052132594069728795,-0.030435545606731916,0.035648805013704765,12.000147059000621,0.030641151888638616,-12.030582604607353,0.07994118279955528,3265,0.5150821691565601,-11.74952340878021,122,0.6069651741293532,0.49993394558262794,0.004314819702918014,0.49117380584113873,0.5089168250218125,0
ofi_60s_mean,order_flow_imbalance,120,28709,0.4963202104446998,0.49709869639410514,-0.009085185159447727,0.4983431258339415,0.4855291472769931,0.49134451561207454,0.011199005456663635,1,28783,27908,-0.09850232072029863,-0.13420835734388403,0.03570603662358537,12.000144441829688,-0.0045221595473295155,-12.134352799173572,0.07696717787014476,3265,0.503729083667288,-11.751072498216493,166,0.8258706467661692,0.500002746898389,0.0038887586602862306,0.49227639678149737,0.5069741351992734,0
ofi_300s_mean,order_flow_imbalance,120,28709,0.4952512795383966,0.4979332051486548,-0.013206781875496561,0.49901704049301004,0.4774262726585651,0.49694882252581235,0.011344751638984237,2,28783,27918,-0.028234807378631533,-0.0638807848818287,0.035645977503197174,12.000153977242492,-0.01868522321600647,-12.06403476212432,0.07744107744107744,3265,0.49866115532539285,-11.944739600527202,171,0.8507462686567164,0.49932263495364393,0.0038848977257804366,0.49231884714581814,0.5061784638283249,0
trade_imbalance,aggressor_trade_flow,120,28709,0.494178462467268,0.49438807881323826,-0.006030863937077413,0.4981273323456925,0.48789529859042163,0.4945315491043234,0.004356493786158917,1,28685,27846,0.010178220659775014,-0.02552729003343987,0.03570551069321484,12.000152609929843,0.009460863011559037,-12.025679899963283,0.08090928679163974,3265,0.49511752027887396,-11.87352572810122,188,0.9353233830845771,0.4999597762039645,0.003906844154800977,0.4932281592030362,0.5090371297368823,0
