round,treatment,interval,controller,symbol,stage,relation,eligible_rows,total_rows,eligible_fraction
55,baseline_71,development_holdout,all_view_consensus,BTCUSDT,model_plus_volatility,controller_stage,2,719,0.0027816411682892906
55,baseline_71,development_holdout,all_view_consensus,BTCUSDT,market_eligible,controller_stage,2,719,0.0027816411682892906
55,baseline_71,development_holdout,all_view_consensus,BTCUSDT,market_eligible_long,controller_side,1,719,0.0013908205841446453
55,baseline_71,development_holdout,all_view_consensus,BTCUSDT,market_eligible_short,controller_side,1,719,0.0013908205841446453
55,baseline_71,development_holdout,all_view_consensus,ETHUSDT,all_rows,denominator,719,719,1.0
55,baseline_71,development_holdout,all_view_consensus,ETHUSDT,any_view_vote,independent_model_stage,24,719,0.03337969401947149
55,baseline_71,development_holdout,all_view_consensus,ETHUSDT,two_view_side_agreement,independent_model_stage,10,719,0.013908205841446454
55,baseline_71,development_holdout,all_view_consensus,ETHUSDT,all_view_positive,exact_rule_stage,3,719,0.004172461752433936
55,baseline_71,development_holdout,all_view_consensus,ETHUSDT,all_view_positive_preferred,exact_rule_stage,3,719,0.004172461752433936
55,baseline_71,development_holdout,all_view_consensus,ETHUSDT,all_view_seed_supported,exact_rule_stage,3,719,0.004172461752433936
55,baseline_71,development_holdout,all_view_consensus,ETHUSDT,controller_model_eligible,controller_stage,3,719,0.004172461752433936
55,baseline_71,development_holdout,all_view_consensus,ETHUSDT,liquidity_eligible,market_gate,462,719,0.6425591098748261
55,baseline_71,development_holdout,all_view_consensus,ETHUSDT,volatility_eligible,market_gate,715,719,0.9944367176634215
55,baseline_71,development_holdout,all_view_consensus,ETHUSDT,model_plus_liquidity,controller_stage,3,719,0.004172461752433936
55,baseline_71,development_holdout,all_view_consensus,ETHUSDT,model_plus_volatility,controller_stage,3,719,0.004172461752433936
55,baseline_71,development_holdout,all_view_consensus,ETHUSDT,market_eligible,controller_stage,3,719,0.004172461752433936
55,baseline_71,development_holdout,all_view_consensus,ETHUSDT,market_eligible_long,controller_side,3,719,0.004172461752433936
55,baseline_71,development_holdout,all_view_consensus,ETHUSDT,market_eligible_short,controller_side,0,719,0.0
55,baseline_71,development_holdout,all_view_consensus,SOLUSDT,all_rows,denominator,719,719,1.0
55,baseline_71,development_holdout,all_view_consensus,SOLUSDT,any_view_vote,independent_model_stage,24,719,0.03337969401947149
55,baseline_71,development_holdout,all_view_consensus,SOLUSDT,two_view_side_agreement,independent_model_stage,4,719,0.005563282336578581
55,baseline_71,development_holdout,all_view_consensus,SOLUSDT,all_view_positive,exact_rule_stage,2,719,0.0027816411682892906
55,baseline_71,development_holdout,all_view_consensus,SOLUSDT,all_view_positive_preferred,exact_rule_stage,2,719,0.0027816411682892906
